encoder__Dependents,encoder__PaymentMethod,encoder__InternetService,encoder__tenure_group,remainder__SeniorCitizen,remainder__Partner,remainder__Tenure,remainder__Contract,remainder__PaperlessBilling,remainder__MonthlyCharges,remainder__TotalCharges,remainder__OnlineSecurity,remainder__OnlineBackup,remainder__DeviceProtection,remainder__TechSupport,remainder__service_diversity,remainder__monthly_charges_ratio,remainder__is_paperless_electronic
0.0,2.0,1.0,1.0,1,0,16,1,1,86.6,1281.0,0,0,0,0,0,1.3316382550919899,0
0.0,3.0,0.0,5.0,0,1,61,24,1,69.9,4226.7,1,0,1,0,2,1.0748442728744816,0
0.0,2.0,2.0,4.0,0,0,59,24,0,24.45,1493.1,0,0,0,0,0,0.37596484222862764,0
0.0,2.0,1.0,2.0,0,0,25,1,1,100.25,2387.75,0,1,0,0,1,1.5415327375631869,0
0.0,0.0,1.0,4.0,1,1,50,12,1,101.9,5265.5,1,1,1,0,3,1.5669045980816834,1
0.0,2.0,0.0,0.0,0,0,1,1,0,47.95,47.95,1,0,0,0,1,0.7373216435526665,0
1.0,3.0,2.0,5.0,0,1,66,24,1,19.75,1344.5,0,0,0,0,0,0.30369348196381984,0
0.0,0.0,1.0,4.0,1,1,59,1,1,93.85,5574.75,0,0,0,0,0,1.4431206725217465,1
0.0,3.0,2.0,0.0,0,0,3,1,1,19.1,53.05,0,0,0,0,0,0.2936985066080486,0
1.0,1.0,2.0,3.0,0,1,40,24,0,25.25,1006.9,0,0,0,0,0,0.3882663503588077,0
0.0,0.0,2.0,4.0,0,1,50,24,0,20.15,930.9,0,0,0,0,0,0.30984423602890987,0
0.0,2.0,1.0,0.0,0,0,10,12,1,98.9,1064.95,1,0,1,0,2,1.520773942593508,0
0.0,2.0,1.0,0.0,1,0,1,1,1,71.15,71.15,0,0,0,0,0,1.0940653793278878,0
0.0,2.0,1.0,0.0,0,1,6,1,1,80.5,502.85,0,0,0,1,1,1.237839255599367,0
0.0,2.0,1.0,0.0,0,1,2,1,1,91.45,171.45,0,0,1,0,1,1.4062161481312063,0
1.0,0.0,0.0,1.0,0,1,13,12,0,54.15,701.05,1,0,0,1,2,0.8326583315615618,0
0.0,1.0,1.0,5.0,1,1,67,1,1,94.65,6079.0,0,0,0,0,0,1.4554221806519267,1
1.0,0.0,0.0,2.0,0,1,32,1,0,62.45,2045.55,0,1,1,0,2,0.9602864784121798,0
0.0,2.0,0.0,2.0,0,1,35,1,0,56.85,1861.1,0,1,0,1,2,0.8741759215009195,0
0.0,3.0,2.0,0.0,0,0,3,1,0,20.7,57.5,0,0,0,0,0,0.3183015228684086,0
1.0,0.0,2.0,3.0,0,1,45,24,1,20.0,886.4,0,0,0,0,0,0.30753770325450114,1
0.0,1.0,0.0,2.0,0,0,29,12,0,58.0,1734.5,1,0,1,1,3,0.8918593394380533,0
0.0,2.0,1.0,4.0,1,0,55,12,1,100.15,5409.75,0,0,1,0,1,1.5399950490469145,0
0.0,2.0,1.0,0.0,0,0,1,1,1,85.0,85.0,0,1,0,0,1,1.3070352388316298,0
0.0,2.0,1.0,2.0,1,1,28,1,1,105.8,2998.0,0,1,0,1,2,1.6268744502163108,0
1.0,0.0,0.0,5.0,0,1,64,12,1,53.85,3399.85,0,1,0,0,1,0.8280452660127443,1
0.0,0.0,0.0,5.0,0,1,64,12,0,58.35,3756.45,0,0,1,1,2,0.897241249245007,0
0.0,2.0,1.0,1.0,0,1,17,1,0,94.4,1607.2,1,0,1,0,2,1.4515779593612455,0
0.0,2.0,1.0,2.0,0,1,30,1,1,100.05,3046.15,0,0,1,0,1,1.5384573605306417,0
1.0,1.0,2.0,2.0,0,1,26,24,1,19.15,515.75,0,0,0,0,0,0.2944673508661848,1
0.0,3.0,0.0,3.0,0,0,42,12,1,67.7,2882.25,1,1,0,1,3,1.0410151255164863,0
0.0,2.0,0.0,5.0,0,1,71,24,0,83.2,6126.1,1,0,1,1,3,1.2793568455387248,0
0.0,0.0,1.0,1.0,0,0,15,1,1,83.2,1130.0,0,1,0,0,1,1.2793568455387248,1
1.0,2.0,1.0,5.0,1,1,61,12,0,99.0,5969.3,0,1,0,0,1,1.5223116311097806,0
1.0,2.0,1.0,2.0,0,1,26,1,0,81.95,2070.05,1,1,0,0,2,1.2601357390853183,0
1.0,1.0,2.0,1.0,0,1,15,12,0,20.35,335.95,0,0,0,0,0,0.31291961306145494,0
0.0,0.0,1.0,3.0,0,1,41,12,1,86.2,3339.05,0,1,1,1,3,1.3254875010268998,1
0.0,0.0,1.0,2.0,0,0,25,1,1,79.85,2015.35,1,1,0,0,2,1.2278442802435956,1
0.0,2.0,0.0,1.0,0,0,15,1,1,49.0,749.25,0,0,0,0,0,0.7534673729735277,0
0.0,0.0,0.0,5.0,0,0,62,24,1,43.7,2618.3,1,1,1,1,4,0.671969881611085,1
0.0,3.0,2.0,0.0,0,0,1,1,1,20.1,20.1,0,0,0,0,0,0.30907539177077364,0
0.0,2.0,0.0,3.0,0,1,44,12,1,70.95,3250.45,0,1,1,1,3,1.0909900022953427,0
0.0,2.0,1.0,2.0,1,0,30,1,1,104.1,3121.1,0,1,1,0,2,1.6007337454396782,0
0.0,1.0,2.0,2.0,0,0,29,1,0,19.35,601.6,0,0,0,0,0,0.2975427278987299,0
0.0,2.0,0.0,3.0,0,0,39,1,1,40.6,1494.5,0,0,0,1,1,0.6243015376066373,0
0.0,1.0,0.0,0.0,0,0,7,12,1,24.35,150.85,0,0,0,0,0,0.37442715371235513,1
1.0,3.0,2.0,0.0,0,1,0,24,0,25.75,0.0,0,0,0,0,0,0.3959547929401702,0
0.0,3.0,1.0,0.0,1,1,4,1,1,74.4,306.6,0,0,0,0,0,1.1440402561067442,0
1.0,0.0,1.0,5.0,0,1,72,24,1,116.85,8477.7,1,1,1,1,4,1.7967890312644228,1
0.0,3.0,2.0,0.0,0,0,3,1,1,19.6,59.75,0,0,0,0,0,0.3013869491894111,0
0.0,1.0,2.0,2.0,0,0,32,12,0,20.35,707.5,0,0,0,0,0,0.31291961306145494,0
1.0,1.0,1.0,2.0,0,1,27,1,1,85.2,2151.6,0,1,0,1,2,1.3101106158641749,1
1.0,0.0,1.0,4.0,0,1,55,1,0,85.5,4713.4,0,0,0,0,0,1.3147236814129923,0
0.0,1.0,1.0,4.0,1,0,49,1,0,101.55,5070.4,1,0,0,0,1,1.5615226882747295,0
0.0,2.0,1.0,4.0,1,1,58,12,1,108.85,6287.25,1,1,1,0,3,1.6737739499626223,0
1.0,0.0,1.0,5.0,0,1,72,24,0,105.25,7609.75,1,0,1,0,2,1.618417163376812,0
1.0,1.0,0.0,4.0,0,1,59,12,0,76.75,4541.9,0,1,1,1,3,1.180175936239148,0
0.0,2.0,1.0,0.0,1,0,1,1,1,74.7,74.7,0,0,0,0,0,1.1486533216555617,0
0.0,2.0,1.0,3.0,1,1,43,1,1,94.5,4156.8,1,1,0,0,2,1.4531156478775178,0
0.0,2.0,1.0,1.0,0,0,18,1,1,75.4,1380.4,1,0,0,0,1,1.1594171412694694,0
0.0,2.0,2.0,3.0,0,1,46,12,0,24.9,1174.8,0,0,0,0,0,0.3828844405518539,0
0.0,3.0,2.0,0.0,0,0,1,1,0,20.2,20.2,0,0,0,0,0,0.3106130802870461,0
0.0,2.0,1.0,0.0,0,1,3,1,1,75.85,256.6,0,0,0,0,0,1.1663367395926953,0
0.0,1.0,2.0,4.0,0,1,56,24,1,25.15,1327.15,0,0,0,0,0,0.3867286618425351,1
0.0,0.0,1.0,1.0,0,1,16,1,1,94.65,1461.15,0,1,0,0,1,1.4554221806519267,1
0.0,3.0,2.0,0.0,0,0,6,1,0,20.0,109.2,0,0,0,0,0,0.30753770325450114,0
0.0,2.0,0.0,3.0,0,0,40,1,0,67.45,2731.0,1,0,1,0,2,1.037170904225805,0
0.0,1.0,0.0,4.0,0,1,52,24,0,66.25,3330.1,1,1,1,1,4,1.018718642030535,0
0.0,2.0,0.0,0.0,1,0,6,1,1,44.4,263.05,0,0,0,0,0,0.6827337012249924,0
0.0,1.0,1.0,4.0,0,0,50,1,1,93.5,4747.5,1,1,0,1,3,1.4377387627147928,1
0.0,0.0,0.0,1.0,1,1,21,1,1,64.95,1339.8,1,1,0,0,2,0.9987286913189924,1
0.0,1.0,1.0,5.0,0,0,72,24,1,108.05,7806.6,0,1,1,1,3,1.6614724418324422,1
1.0,3.0,1.0,0.0,0,1,2,1,0,69.95,143.9,0,0,0,0,0,1.0756131171326178,0
0.0,3.0,2.0,0.0,0,0,3,1,1,19.8,58.15,0,0,0,0,0,0.3044623262219561,0
1.0,2.0,1.0,0.0,0,0,2,1,1,70.7,151.65,0,0,0,0,0,1.0871457810046614,0
0.0,3.0,0.0,0.0,0,0,1,1,1,45.8,45.8,0,0,0,0,0,0.7042613404528075,0
0.0,3.0,2.0,0.0,0,1,12,12,0,26.4,314.95,0,0,0,0,0,0.4059497682959415,0
1.0,1.0,0.0,2.0,0,1,35,1,1,59.45,2136.9,1,1,0,0,2,0.9141558229240047,1
0.0,2.0,0.0,2.0,0,0,29,1,1,31.2,926.2,0,0,0,1,1,0.4797588170770217,0
0.0,1.0,1.0,0.0,0,0,10,1,1,81.0,818.05,0,1,0,0,1,1.2455276981807295,1
0.0,2.0,1.0,5.0,0,0,65,12,1,95.5,6153.85,0,1,1,0,2,1.468492533040243,0
0.0,2.0,1.0,0.0,0,1,7,1,1,81.1,576.65,0,0,0,0,0,1.247065386697002,0
1.0,0.0,0.0,1.0,0,1,19,1,1,49.6,962.9,0,0,1,0,1,0.7626935040711628,1
0.0,0.0,1.0,5.0,1,0,67,24,1,92.45,6140.85,1,1,0,1,3,1.4215930332939315,1
0.0,0.0,2.0,5.0,0,0,66,24,0,19.35,1240.8,0,0,0,0,0,0.2975427278987299,0
1.0,3.0,0.0,0.0,0,1,0,24,0,73.35,0.0,0,1,1,1,3,1.1278945266858829,0
0.0,2.0,1.0,0.0,1,0,3,1,1,86.85,220.95,0,0,1,0,1,1.335482476382671,0
0.0,2.0,2.0,4.0,0,1,50,24,0,19.8,1013.2,0,0,0,0,0,0.3044623262219561,0
0.0,1.0,0.0,0.0,0,0,1,1,0,43.95,43.95,0,0,0,0,0,0.6758141029017662,0
0.0,2.0,0.0,0.0,1,0,12,1,1,43.65,526.95,0,0,1,1,2,0.6712010373529487,0
0.0,2.0,1.0,2.0,1,0,27,1,1,81.45,2122.05,0,1,0,0,1,1.252447296503956,0
0.0,1.0,0.0,5.0,0,1,70,24,0,86.45,5950.2,1,1,1,1,4,1.3293317223175811,0
0.0,0.0,1.0,3.0,0,0,45,12,0,96.75,4442.75,1,1,0,0,2,1.4877136394936492,0
0.0,2.0,1.0,0.0,1,0,3,1,1,70.3,235.5,0,0,0,0,0,1.0809950269395714,0
0.0,2.0,1.0,1.0,0,1,15,1,0,101.75,1669.4,1,0,1,0,2,1.5645980653072744,0
0.0,0.0,2.0,3.0,0,1,47,24,0,19.65,921.55,0,0,0,0,0,0.30215579344754734,0
0.0,3.0,2.0,5.0,0,1,63,24,0,19.25,1237.65,0,0,0,0,0,0.2960050393824573,0
0.0,3.0,0.0,0.0,0,0,1,1,1,25.15,25.15,0,0,0,0,0,0.3867286618425351,0
1.0,3.0,2.0,1.0,0,1,15,1,0,19.8,272.95,0,0,0,0,0,0.3044623262219561,0
0.0,1.0,1.0,0.0,0,1,6,1,1,83.55,477.55,0,1,0,0,1,1.2847387553456784,1
0.0,2.0,0.0,0.0,0,0,5,1,1,64.0,370.25,0,1,0,0,1,0.9841206504144036,0
0.0,3.0,1.0,0.0,0,0,4,1,0,89.6,365.65,0,1,0,0,1,1.377768910580165,0
0.0,2.0,1.0,0.0,0,0,7,1,1,100.4,715.0,0,0,1,1,2,1.5438392703375958,0
1.0,1.0,2.0,4.0,0,1,56,24,1,19.8,1119.9,0,0,0,0,0,0.3044623262219561,1
0.0,2.0,1.0,0.0,1,1,5,1,0,70.05,302.6,0,0,0,0,0,1.07715080564889,0
0.0,3.0,1.0,2.0,0,1,33,12,1,103.7,3467.0,1,0,1,0,2,1.5945829913745884,0
0.0,0.0,0.0,2.0,1,0,29,1,1,58.55,1718.95,1,1,0,0,2,0.900316626277552,1
1.0,3.0,2.0,0.0,0,1,8,24,0,19.05,201.7,0,0,0,0,0,0.29292966234991236,0
0.0,3.0,2.0,0.0,0,0,4,1,1,19.95,59.25,0,0,0,0,0,0.30676885899636486,0
0.0,3.0,2.0,4.0,0,0,52,24,0,19.65,1025.05,0,0,0,0,0,0.30215579344754734,0
0.0,0.0,1.0,5.0,1,1,72,24,1,109.75,7932.5,0,1,1,1,3,1.687613146609075,1
1.0,1.0,2.0,2.0,0,0,27,24,1,25.85,788.55,0,0,0,0,0,0.3974924814564427,1
1.0,0.0,2.0,5.0,1,1,64,24,1,24.4,1548.65,0,0,0,0,0,0.37519599797049136,1
0.0,2.0,1.0,0.0,0,0,3,1,1,85.3,264.8,0,0,0,0,0,1.3116483043804472,0
0.0,0.0,1.0,4.0,0,0,58,1,0,80.65,4807.35,0,0,0,1,1,1.2401457883737759,0
0.0,1.0,1.0,5.0,1,1,67,12,1,105.4,7035.6,1,1,1,1,4,1.620723696151221,1
1.0,3.0,2.0,1.0,0,1,13,1,1,19.85,252.0,0,0,0,0,0,0.3052311704800924,0
0.0,0.0,1.0,0.0,0,0,6,1,1,98.15,567.45,1,1,1,1,4,1.5092412787214644,1
1.0,2.0,0.0,5.0,0,1,70,24,1,84.1,5979.7,0,1,1,1,3,1.2931960421851771,0
1.0,1.0,1.0,5.0,0,1,70,24,1,113.05,7869.05,1,1,1,1,4,1.7383568676460674,1
0.0,3.0,0.0,0.0,0,0,6,1,0,50.05,288.35,0,0,0,1,1,0.769613102394389,0
1.0,3.0,2.0,2.0,0,1,30,24,0,19.3,602.9,0,0,0,0,0,0.2967738836405936,0
0.0,0.0,0.0,2.0,0,0,34,1,1,25.05,852.7,0,0,0,0,0,0.3851909733262627,1
1.0,1.0,1.0,3.0,0,1,43,12,1,104.3,4451.85,0,0,1,1,2,1.6038091224722233,1
1.0,3.0,0.0,3.0,0,1,46,12,0,56.9,2560.1,1,0,1,1,3,0.8749447657590557,0
0.0,0.0,1.0,2.0,0,0,25,1,0,74.3,1952.25,1,0,0,0,1,1.1425025675904716,0
0.0,2.0,1.0,0.0,0,0,5,1,1,69.75,324.6,0,0,0,0,0,1.0725377401000726,0
0.0,2.0,0.0,3.0,0,0,41,12,1,51.35,2075.1,0,0,1,0,1,0.7896030531059317,0
1.0,3.0,2.0,3.0,0,1,38,12,0,20.3,749.35,0,0,0,0,0,0.31215076880331866,0
0.0,3.0,2.0,4.0,0,0,59,24,0,19.35,1099.6,0,0,0,0,0,0.2975427278987299,0
0.0,0.0,1.0,2.0,0,0,30,12,1,94.4,2638.1,0,0,0,1,1,1.4515779593612455,1
0.0,2.0,0.0,0.0,0,0,1,1,1,54.9,54.9,1,1,0,0,2,0.8441909954336055,0
0.0,2.0,1.0,2.0,0,0,34,1,1,105.1,3634.8,0,1,1,1,3,1.6161106306024033,0
0.0,2.0,1.0,4.0,1,1,60,12,1,104.35,6339.45,0,1,1,0,2,1.6045779667303595,0
1.0,2.0,1.0,5.0,0,1,70,12,1,106.15,7475.1,0,1,1,1,3,1.6322563600232647,0
0.0,0.0,0.0,5.0,0,1,68,24,0,70.95,4741.45,1,1,1,0,3,1.0909900022953427,0
0.0,3.0,0.0,4.0,1,0,54,12,0,72.1,3886.05,0,1,0,1,2,1.1086734202324764,0
0.0,1.0,1.0,3.0,1,1,40,12,1,98.15,4116.8,1,1,1,1,4,1.5092412787214644,1
0.0,1.0,1.0,1.0,0,0,14,1,1,80.05,1112.3,0,1,0,1,2,1.2309196572761407,1
1.0,2.0,1.0,3.0,1,1,38,1,0,101.15,3741.85,0,1,0,0,1,1.5553719342096395,0
0.0,2.0,1.0,5.0,0,1,70,24,1,110.5,7752.05,0,1,1,1,3,1.6991458104811188,0
0.0,1.0,1.0,1.0,0,0,16,1,1,74.55,1170.5,0,0,0,1,1,1.146346788881153,1
0.0,1.0,0.0,4.0,0,1,51,24,1,83.25,4089.45,1,1,1,1,4,1.280125689796861,1
0.0,3.0,2.0,0.0,0,1,6,12,0,25.1,171.0,0,0,0,0,0,0.38595981758439896,0
0.0,0.0,2.0,2.0,0,1,30,1,0,19.65,655.85,0,0,0,0,0,0.30215579344754734,0
1.0,3.0,0.0,2.0,0,0,35,1,0,50.15,1655.35,0,0,0,0,0,0.7711507909106615,0
0.0,2.0,1.0,2.0,0,0,35,12,1,85.15,3030.6,0,0,1,0,1,1.3093417716060387,0
0.0,1.0,2.0,5.0,0,1,72,24,0,19.4,1363.25,0,0,0,0,0,0.29831157215686605,0
1.0,0.0,2.0,1.0,0,1,24,24,1,24.1,587.4,0,0,0,0,0,0.3705829324216739,1
0.0,2.0,1.0,0.0,0,0,1,1,1,95.6,95.6,1,0,0,0,1,1.4700302215565153,0
1.0,1.0,0.0,3.0,0,1,38,12,0,78.95,2862.55,0,1,1,0,2,1.2140050835971432,0
0.0,2.0,1.0,0.0,1,1,1,1,1,95.1,95.1,0,0,0,0,0,1.4623417789751527,0
0.0,2.0,1.0,4.0,0,1,50,1,0,103.7,5071.05,0,1,0,1,2,1.5945829913745884,0
0.0,1.0,0.0,3.0,0,1,46,24,0,40.4,1842.7,1,0,1,1,3,0.6212261605740922,0
0.0,2.0,1.0,1.0,0,1,17,1,1,104.2,1743.5,1,0,1,0,2,1.602271433955951,0
0.0,2.0,1.0,1.0,0,1,22,1,1,69.25,1554.0,0,0,0,0,0,1.06484929751871,0
0.0,0.0,0.0,5.0,0,1,72,24,1,89.05,6254.45,1,1,1,1,4,1.3693116237406662,1
0.0,0.0,1.0,5.0,1,0,71,24,0,104.05,7413.55,0,0,1,0,1,1.599964901181542,0
0.0,2.0,1.0,1.0,0,0,23,1,1,90.6,1943.2,0,0,0,1,1,1.39314579574289,0
0.0,2.0,1.0,1.0,0,1,18,1,1,94.75,1691.9,0,0,0,0,0,1.456959869168199,0
0.0,2.0,1.0,0.0,0,0,1,1,0,74.0,74.0,0,0,0,1,1,1.1378895020416542,0
0.0,0.0,0.0,5.0,0,1,71,24,1,86.1,6045.9,1,1,1,1,4,1.3239498125106273,1
0.0,3.0,1.0,0.0,0,0,1,1,1,74.25,74.25,0,0,0,0,0,1.1417337233323355,0
1.0,2.0,0.0,3.0,0,1,42,12,0,73.15,3088.25,0,0,1,1,2,1.124819149653338,0
0.0,2.0,1.0,1.0,1,1,24,1,1,78.85,1772.25,1,0,0,0,1,1.2124673950808706,0
0.0,2.0,1.0,2.0,1,1,32,1,1,85.0,2642.05,0,0,0,0,0,1.3070352388316298,0
1.0,3.0,2.0,0.0,0,0,1,1,1,21.05,21.05,0,0,0,0,0,0.3236834326753624,0
0.0,3.0,1.0,0.0,0,0,1,1,1,71.35,71.35,0,0,0,0,0,1.0971407563604327,0
0.0,2.0,1.0,0.0,0,1,2,1,1,94.2,167.5,0,0,0,1,1,1.4485025823287003,0
0.0,3.0,1.0,0.0,0,0,12,1,1,99.95,1132.75,0,0,0,1,1,1.5369196720143694,0
0.0,3.0,0.0,0.0,0,0,1,1,0,45.6,45.6,0,0,0,0,0,0.7011859634202626,0
0.0,2.0,1.0,4.0,1,1,50,1,1,88.05,4367.35,0,1,0,0,1,1.3539347385779412,0
0.0,1.0,1.0,5.0,1,1,68,1,1,80.35,5589.3,0,0,1,0,1,1.2355327228249582,1
0.0,0.0,1.0,1.0,0,0,19,1,1,78.7,1495.1,0,0,0,0,0,1.210160862306462,1
0.0,3.0,0.0,2.0,0,0,30,1,1,48.8,1536.75,1,0,0,0,1,0.7503919959409827,0
1.0,0.0,2.0,4.0,0,1,60,24,1,20.95,1270.55,0,0,0,0,0,0.3221457441590899,1
0.0,0.0,0.0,5.0,0,1,70,12,0,65.2,4543.15,1,0,0,0,1,1.0025729126096736,0
0.0,2.0,1.0,0.0,0,0,10,1,1,94.9,1048.85,0,0,1,0,1,1.4592664019426078,0
0.0,2.0,1.0,0.0,0,0,1,1,1,95.85,95.85,0,0,0,1,1,1.4738744428471966,0
0.0,3.0,1.0,0.0,0,0,1,1,1,70.8,70.8,0,0,0,0,0,1.088683469520934,0
0.0,1.0,1.0,5.0,1,1,71,24,1,96.35,6766.95,1,1,1,1,4,1.481562885428559,1
